Parameter,Example,Description,Type,Min,Max,Default
Acquire_Config,[link](../json/campaign-multieffectboostervaccine_Acquire_Config.json),The configuration for multi-effect vaccine acquisition. Specify how this effect decays over time using one of the [Waning effect classes](../md_parameter/parameter-campaign-waningeffects.md).,JSON object,NA,NA,NA
Boost_Acquire,[link](../json/campaign-multieffectboostervaccine_Boost_Acquire.json),"Specifies the boosting effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.",float,0,1,0
Boost_Mortality,[link](../json/campaign-multieffectboostervaccine_Boost_Mortality.json),"Specifies the boosting effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.",float,0,1,0
Boost_Threshold_Acquire,[link](../json/campaign-multieffectboostervaccine_Boost_Threshold_Acquire.json),Specifies how much acquisition immunity is required before the vaccine changes from a prime to a boost.,float,0,1,0
Boost_Threshold_Mortality,[link](../json/campaign-multieffectboostervaccine_Boost_Threshold_Mortality.json),Specifies how much mortality immunity is required before the vaccine changes from a prime to a boost.,float,0,1,0
Boost_Threshold_Transmit,[link](../json/campaign-multieffectboostervaccine_Boost_Threshold_Transmit.json),Specifies how much transmission immunity is required before the vaccine changes from a prime to a boost.,float,0,1,0
Boost_Transmit,[link](../json/campaign-multieffectboostervaccine_Boost_Transmit.json),"Specifies the boosting effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine. This does not replace current immunity, it builds multiplicatively on top of it.",float,0,1,0
Cost_To_Consumer,[link](../json/campaign-multieffectboostervaccine_Cost_To_Consumer.json),The unit cost per vaccine (unamortized).,float,0,999999,10
Disqualifying_Properties,[link](../json/campaign-multieffectboostervaccine_Disqualifying_Properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Dont_Allow_Duplicates,[link](../json/campaign-multieffectboostervaccine_Dont_Allow_Duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",boolean,0,1,0
Intervention_Name,[link](../json/campaign-multieffectboostervaccine_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,NA
Mortality_Config,[link](../json/campaign-multieffectboostervaccine_Mortality_Config.json),The configuration for multi-effect vaccine mortality. Specify how this effect decays over time using one of the [Waning effect classes](../md_parameter/parameter-campaign-waningeffects.md).,JSON object,NA,NA,NA
New_Property_Value,[link](../json/campaign-multieffectboostervaccine_New_Property_Value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
Prime_Acquire,[link](../json/campaign-multieffectboostervaccine_Prime_Acquire.json),Specifies the priming effect on acquisition immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.,float,0,1,0
Prime_Mortality,[link](../json/campaign-multieffectboostervaccine_Prime_Mortality.json),Specifies the priming effect on mortality immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.,float,0,1,0
Prime_Transmit,[link](../json/campaign-multieffectboostervaccine_Prime_Transmit.json),Specifies the priming effect on transmission immunity for naive individuals (without natural or vaccine-derived immunity) for a multi-effect booster vaccine.,float,0,1,0
Transmit_Config,[link](../json/campaign-multieffectboostervaccine_Transmit_Config.json),The configuration for multi-effect vaccine transmission. Specify how this effect decays over time using one of the [Waning effect classes](../md_parameter/parameter-campaign-waningeffects.md).,JSON object,NA,NA,NA
Vaccine_Take,[link](../json/campaign-multieffectboostervaccine_Vaccine_Take.json),"The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all.",float,0,1,1
