Parameter,Example,Description,Type,Min,Max,Default
Cost_To_Consumer,[link](../json/campaign-controlledvaccine_Cost_To_Consumer.json),The unit cost per vaccine (unamortized).,float,0,999999,10
Disqualifying_Properties,[link](../json/campaign-controlledvaccine_Disqualifying_Properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Distributed_Event_Trigger,[link](../json/campaign-controlledvaccine_Distributed_Event_Trigger.json),The name of the event to be broadcast when the intervention is distributed to an individual. See [Event list](../md_parameter/parameter-campaign-event-list.md) for possible values.,enum,NA,NA,NA
Dont_Allow_Duplicates,[link](../json/campaign-controlledvaccine_Dont_Allow_Duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",boolean,0,1,0
Duration_To_Wait_Before_Revaccination,[link](../json/campaign-controlledvaccine_Duration_To_Wait_Before_Revaccination.json),"The length of time, in days, to wait before revaccinating an individual. After this time has passed, the individual can be revaccinated. If the first vaccine has not expired, the individual can receive the effect from both doses of the vaccine.",float,0,3.40282e+38,3.40282e+38
Efficacy_Is_Multiplicative,[link](../json/campaign-controlledvaccine_Efficacy_Is_Multiplicative.json),"The overall vaccine efficacy when individuals receive more than one vaccine. When set to true (1), the vaccine efficacies are multiplied together; when set to false (0), the efficacies are additive.",boolean,0,1,1
Expired_Event_Trigger,[link](../json/campaign-controlledvaccine_Expired_Event_Trigger.json),The name of the event to be broadcast when the intervention is distributed to an individual. See [Event list](../md_parameter/parameter-campaign-event-list.md) for possible values.,enum,NA,NA,""""""
Intervention_Name,[link](../json/campaign-controlledvaccine_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,NA
New_Property_Value,[link](../json/campaign-controlledvaccine_New_Property_Value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
Vaccine_Take,[link](../json/campaign-controlledvaccine_Vaccine_Take.json),"The rate at which delivered vaccines will successfully stimulate an immune response and achieve the desired efficacy. For example, if it is set to 0.9, there will be a 90 percent chance that the vaccine will start with the specified efficacy, and a 10 percent chance that it will have no efficacy at all.",float,0,1,1
Vaccine_Type,[link](../json/campaign-controlledvaccine_Vaccine_Type.json),"The type of vaccine to distribute in a vaccine intervention. <br>Possible values are:<br>Generic<br>    The vaccine can reduce transmission, acquisition, and mortality.<br>TransmissionBlocking<br>    The vaccine will reduce pathogen transmission.<br>AcquisitionBlocking<br>    The vaccine will reduce the acquisition of the pathogen by reducing the force of infection experienced by the vaccinated individual.<br>MortalityBlocking<br>    The vaccine reduces the disease-mortality rate of a vaccinated individual.",enum,NA,NA,Generic
Waning_Config,[link](../json/campaign-controlledvaccine_Waning_Config.json),The configuration of how the intervention efficacy wanes over time. Specify how this effect decays over time using one of the [Waning effect classes](../md_parameter/parameter-campaign-waningeffects.md).,JSON object,NA,NA,NA
